Team,Gold,Silver,Bronze,Total
Argentina,0,1,2,3
Armenia,0,2,2,4
Australia,17,7,22,46
Austria,1,1,5,7
Azerbaijan,0,3,4,7
Bahamas,2,0,0,2
Bahrain,0,1,0,1
Belarus,1,3,3,7
Belgium,3,1,3,7
Bermuda,1,0,0,1
Botswana,0,0,1,1
Brazil,7,6,8,21
Bulgaria,3,1,2,6
Burkina Faso,0,0,1,1
Canada,7,6,11,24
China,38,32,18,88
Chinese Taipei,2,4,6,12
Colombia,0,4,1,5
Cote d'Ivoir,0,0,1,1
Croatia,3,3,2,8
Cuba,7,3,5,15
Czech Republic,4,4,3,11
Denmark,3,4,4,11
Dominican Republic,0,3,2,5
Ecuador,2,1,0,3
Egypt,1,1,4,6
Estonia,1,0,1,2
Ethiopia,1,1,2,4
Fiji,1,0,1,2
Finland,0,0,2,2
France,10,12,11,33
Georgia,2,5,1,8
Germany,10,11,16,37
Ghana,0,0,1,1
Great Britain,22,21,22,65
Greece,2,1,1,4
Grenada,0,0,1,1
"Hong Kong, China",1,2,3,6
Hungary,6,7,7,20
India,1,2,4,7
Indonesia,1,1,3,5
Ireland,2,0,2,4
Islamic Republic of Iran,3,2,2,7
Israel,2,0,2,4
Italy,10,10,20,40
Jamaica,4,1,4,9
Japan,27,14,17,58
Jordan,0,1,1,2
Kazakhstan,0,0,8,8
Kenya,4,4,2,10
Kosovo,2,0,0,2
Kuwait,0,0,1,1
Kyrgyzstan,0,2,1,3
Latvia,1,0,1,2
Lithuania,0,1,0,1
Malaysia,0,1,1,2
Mexico,0,0,4,4
Mongolia,0,1,3,4
Morocco,1,0,0,1
Namibia,0,1,0,1
Netherlands,10,12,14,36
New Zealand,7,6,7,20
Nigeria,0,1,1,2
North Macedonia,0,1,0,1
Norway,4,2,2,8
Philippines,1,2,1,4
Poland,4,5,5,14
Portugal,1,1,2,4
Puerto Rico,1,0,0,1
Qatar,2,0,1,3
Republic of Korea,6,4,10,20
Republic of Moldova,0,0,1,1
ROC,20,28,23,71
Romania,1,3,0,4
San Marino,0,1,2,3
Saudi Arabia,0,1,0,1
Serbia,3,1,5,9
Slovakia,1,2,1,4
Slovenia,3,1,1,5
South Africa,1,2,0,3
Spain,3,8,6,17
Sweden,3,6,0,9
Switzerland,3,4,6,13
Syrian Arab Republic,0,0,1,1
Thailand,1,0,1,2
Tunisia,1,1,0,2
Turkey,2,2,9,13
Turkmenistan,0,1,0,1
Uganda,2,1,1,4
Ukraine,1,6,12,19
United States of America,39,41,33,113
Uzbekistan,3,0,2,5
Venezuela,1,3,0,4
